"Gene_ID","MANE_length","Transcript_ID"
"ENSG00000016490",3004,"ENST00000394711"
"ENSG00000016602",3211,"ENST00000370563"
"ENSG00000016864",1856,"ENST00000266014"
"ENSG00000017260",4994,"ENST00000510168"
"ENSG00000017427",7277,"ENST00000337514"
"ENSG00000017483",1990,"ENST00000620913"
"ENSG00000017797",4379,"ENST00000383432"
"ENSG00000018189",4433,"ENST00000381006"
"ENSG00000018236",5667,"ENST00000551295"
"ENSG00000018280",3608,"ENST00000233202"
"ENSG00000018408",5037,"ENST00000360632"
"ENSG00000018510",7633,"ENST00000264167"
"ENSG00000018610",2301,"ENST00000644802"
"ENSG00000018625",5435,"ENST00000361216"
"ENSG00000018699",2888,"ENST00000317907"
"ENSG00000018869",3061,"ENST00000586929"
"ENSG00000019102",1163,"ENST00000326621"
"ENSG00000019144",5445,"ENST00000600882"
"ENSG00000019169",1810,"ENST00000327097"
"ENSG00000019186",3278,"ENST00000216862"
"ENSG00000019485",10729,"ENST00000683152"
"ENSG00000019505",5165,"ENST00000020926"
"ENSG00000019549",2180,"ENST00000020945"
"ENSG00000019582",1653,"ENST00000009530"
"ENSG00000019991",5834,"ENST00000222390"
"ENSG00000019995",5695,"ENST00000359653"
"ENSG00000020129",3698,"ENST00000373243"
"ENSG00000020181",6944,"ENST00000412232"
"ENSG00000020256",3057,"ENST00000216923"
"ENSG00000020426",2648,"ENST00000261245"
"ENSG00000020577",7157,"ENST00000554335"
"ENSG00000020633",4267,"ENST00000308873"
"ENSG00000020922",6841,"ENST00000323929"
"ENSG00000021300",1977,"ENST00000354190"
"ENSG00000021355",2476,"ENST00000380739"
"ENSG00000021461",1707,"ENST00000354829"
"ENSG00000021488",1766,"ENST00000023064"
"ENSG00000021574",5268,"ENST00000315285"
"ENSG00000021645",12048,"ENST00000335750"
"ENSG00000021762",3854,"ENST00000263650"
"ENSG00000021776",9597,"ENST00000156471"
"ENSG00000021826",5760,"ENST00000233072"
"ENSG00000021852",2040,"ENST00000371237"
"ENSG00000022267",2286,"ENST00000370683"
"ENSG00000022277",2176,"ENST00000357348"
"ENSG00000022355",4238,"ENST00000393943"
"ENSG00000022556",3540,"ENST00000448584"
"ENSG00000022567",7418,"ENST00000517878"
"ENSG00000022840",3814,"ENST00000325954"
"ENSG00000022976",2992,"ENST00000442396"
"ENSG00000023041",2170,"ENST00000369405"
"ENSG00000023171",8330,"ENST00000635736"
"ENSG00000023191",1952,"ENST00000354420"
"ENSG00000023228",11660,"ENST00000233190"
"ENSG00000023287",6636,"ENST00000025008"
"ENSG00000023318",4808,"ENST00000262455"
"ENSG00000023330",2375,"ENST00000484952"
"ENSG00000023445",6877,"ENST00000263464"
"ENSG00000023516",9915,"ENST00000025301"
"ENSG00000023572",682,"ENST00000367439"
"ENSG00000023608",2593,"ENST00000216294"
"ENSG00000023697",1644,"ENST00000428559"
"ENSG00000023734",1874,"ENST00000419869"
"ENSG00000023839",5806,"ENST00000647814"
"ENSG00000023892",2296,"ENST00000316637"
"ENSG00000023902",2114,"ENST00000369124"
"ENSG00000023909",4883,"ENST00000370238"
"ENSG00000024048",7891,"ENST00000372901"
"ENSG00000024422",3506,"ENST00000263277"
"ENSG00000024526",5299,"ENST00000456315"
"ENSG00000024862",1247,"ENST00000617445"
"ENSG00000025039",4923,"ENST00000369415"
"ENSG00000025156",2596,"ENST00000368455"
"ENSG00000025293",5879,"ENST00000374012"
"ENSG00000025423",1512,"ENST00000322165"
"ENSG00000025434",1852,"ENST00000441012"
"ENSG00000025708",1586,"ENST00000252029"
"ENSG00000025770",3337,"ENST00000420993"
"ENSG00000025772",1973,"ENST00000372813"
"ENSG00000025796",6430,"ENST00000369002"
"ENSG00000025800",7355,"ENST00000373625"
"ENSG00000026025",2154,"ENST00000544301"
"ENSG00000026103",3696,"ENST00000652046"
"ENSG00000026297",8614,"ENST00000508775"
"ENSG00000026508",5431,"ENST00000428726"
"ENSG00000026559",2189,"ENST00000371571"
"ENSG00000026652",7923,"ENST00000320285"
"ENSG00000026751",2707,"ENST00000368043"
"ENSG00000026950",3388,"ENST00000289361"
"ENSG00000027001",2381,"ENST00000382172"
"ENSG00000027075",3720,"ENST00000332981"
"ENSG00000027644",5200,"ENST00000368195"
"ENSG00000027697",2074,"ENST00000367739"
"ENSG00000027847",1698,"ENST00000029410"
"ENSG00000027869",1644,"ENST00000368199"
"ENSG00000028116",1773,"ENST00000340157"
"ENSG00000028137",3687,"ENST00000376259"
"ENSG00000028203",4510,"ENST00000436874"
"ENSG00000028277",7057,"ENST00000692977"
"ENSG00000028310",2665,"ENST00000467963"
"ENSG00000028528",8214,"ENST00000559844"
"ENSG00000028839",4199,"ENST00000237264"
"ENSG00000029153",6902,"ENST00000266503"
"ENSG00000029363",7494,"ENST00000531224"
"ENSG00000029364",5399,"ENST00000336643"
"ENSG00000029534",8292,"ENST00000289734"
"ENSG00000029559",1573,"ENST00000226284"
"ENSG00000029639",2799,"ENST00000367166"
"ENSG00000029725",5909,"ENST00000537505"
"ENSG00000029993",3507,"ENST00000325307"
"ENSG00000030066",5228,"ENST00000378460"
"ENSG00000030110",2170,"ENST00000374467"
"ENSG00000030304",8294,"ENST00000374448"
"ENSG00000030419",9562,"ENST00000434687"
"ENSG00000030582",2130,"ENST00000053867"
"ENSG00000031003",5579,"ENST00000689681"
"ENSG00000031081",9307,"ENST00000264245"
"ENSG00000031691",1741,"ENST00000335783"
"ENSG00000031698",1914,"ENST00000234677"
"ENSG00000031823",3233,"ENST00000340578"
"ENSG00000032219",5864,"ENST00000355431"
"ENSG00000032389",1657,"ENST00000382125"
"ENSG00000032444",4372,"ENST00000600737"
"ENSG00000032742",2850,"ENST00000351808"
"ENSG00000033011",3900,"ENST00000262374"
"ENSG00000033030",4113,"ENST00000633063"
"ENSG00000033050",4527,"ENST00000287844"
"ENSG00000033100",3989,"ENST00000035307"
"ENSG00000033122",27923,"ENST00000651989"
"ENSG00000033170",4249,"ENST00000673929"
"ENSG00000033178",9540,"ENST00000322244"
"ENSG00000033327",6110,"ENST00000361507"
"ENSG00000033627",4106,"ENST00000343619"
"ENSG00000033800",7980,"ENST00000249636"
"ENSG00000033867",8079,"ENST00000454389"
"ENSG00000034053",3941,"ENST00000683413"
"ENSG00000034152",2256,"ENST00000342679"
"ENSG00000034239",2104,"ENST00000262103"
"ENSG00000034510",461,"ENST00000233143"
"ENSG00000034533",2687,"ENST00000264992"
"ENSG00000034677",4186,"ENST00000341084"
"ENSG00000034693",2750,"ENST00000367591"
"ENSG00000034713",974,"ENST00000037243"
"ENSG00000034971",2100,"ENST00000037502"
"ENSG00000035115",1744,"ENST00000356150"
"ENSG00000035141",2107,"ENST00000430566"
"ENSG00000035403",5497,"ENST00000211998"
"ENSG00000035499",2504,"ENST00000265036"
"ENSG00000035664",2791,"ENST00000457488"
"ENSG00000035681",3574,"ENST00000038176"
"ENSG00000035687",2555,"ENST00000366535"
"ENSG00000035720",1951,"ENST00000265404"
"ENSG00000035862",3652,"ENST00000262768"
"ENSG00000035928",4870,"ENST00000349703"
"ENSG00000036054",3697,"ENST00000394144"
"ENSG00000036257",6756,"ENST00000264414"
"ENSG00000036448",5008,"ENST00000262113"
"ENSG00000036473",1522,"ENST00000039007"
"ENSG00000036530",2197,"ENST00000261835"
"ENSG00000036549",6412,"ENST00000370801"
"ENSG00000036565",2683,"ENST00000276373"
"ENSG00000036672",3697,"ENST00000260187"
"ENSG00000036828",10062,"ENST00000639785"
"ENSG00000037042",1782,"ENST00000251412"
"ENSG00000037241",722,"ENST00000265100"
"ENSG00000037280",5833,"ENST00000261937"
"ENSG00000037474",3056,"ENST00000264670"
"ENSG00000037637",6227,"ENST00000375592"
"ENSG00000037749",5037,"ENST00000522782"
"ENSG00000037757",3178,"ENST00000040663"
"ENSG00000037897",1378,"ENST00000324871"
"ENSG00000037965",2417,"ENST00000040584"
"ENSG00000038002",2037,"ENST00000264595"
"ENSG00000038210",3594,"ENST00000264864"
"ENSG00000038219",10567,"ENST00000040738"
"ENSG00000038274",2064,"ENST00000321757"
"ENSG00000038295",7291,"ENST00000061240"
"ENSG00000038358",4767,"ENST00000358933"
"ENSG00000038382",11460,"ENST00000344204"
"ENSG00000038427",12345,"ENST00000265077"
"ENSG00000038532",6812,"ENST00000409790"
"ENSG00000038945",3618,"ENST00000262101"
"ENSG00000039068",4811,"ENST00000261769"
"ENSG00000039123",3961,"ENST00000230640"
"ENSG00000039139",15781,"ENST00000265104"
"ENSG00000039319",10805,"ENST00000505560"
"ENSG00000039523",4092,"ENST00000042381"
"ENSG00000039537",3691,"ENST00000337836"
"ENSG00000039560",4986,"ENST00000265109"
"ENSG00000039600",3283,"ENST00000265007"
"ENSG00000039650",1731,"ENST00000322344"
"ENSG00000039987",2011,"ENST00000553030"
"ENSG00000040199",8317,"ENST00000568954"
"ENSG00000040275",2529,"ENST00000265295"
"ENSG00000040341",2970,"ENST00000524300"
"ENSG00000040487",2175,"ENST00000375153"
"ENSG00000040531",4139,"ENST00000046640"
"ENSG00000040608",1944,"ENST00000043402"
"ENSG00000040633",1978,"ENST00000320316"
"ENSG00000040731",3438,"ENST00000264463"
"ENSG00000040933",10096,"ENST00000409851"
"ENSG00000041353",7003,"ENST00000262094"
"ENSG00000041357",4378,"ENST00000044462"
"ENSG00000041515",7046,"ENST00000457511"
"ENSG00000041802",3283,"ENST00000265245"
"ENSG00000041880",2337,"ENST00000398755"
"ENSG00000041982",8500,"ENST00000350763"
"ENSG00000041988",1361,"ENST00000054650"
"ENSG00000042062",4391,"ENST00000327979"
"ENSG00000042088",3722,"ENST00000335725"
"ENSG00000042286",3134,"ENST00000307864"
"ENSG00000042317",2000,"ENST00000393545"
"ENSG00000042429",5087,"ENST00000251871"
"ENSG00000042445",3141,"ENST00000295802"
"ENSG00000042493",1250,"ENST00000263867"
"ENSG00000042753",789,"ENST00000263270"
"ENSG00000042781",18938,"ENST00000307340"
"ENSG00000042813",1195,"ENST00000046087"
"ENSG00000042832",8455,"ENST00000220616"
"ENSG00000042980",7019,"ENST00000265769"
"ENSG00000043039",1905,"ENST00000281437"
"ENSG00000043093",7849,"ENST00000292782"
"ENSG00000043143",6757,"ENST00000681547"
"ENSG00000043355",2963,"ENST00000376335"
"ENSG00000043462",4232,"ENST00000046794"
"ENSG00000043514",5051,"ENST00000316891"
"ENSG00000043591",3039,"ENST00000369295"
"ENSG00000044012",604,"ENST00000372581"
"ENSG00000044090",5406,"ENST00000265348"
"ENSG00000044115",3754,"ENST00000302763"
"ENSG00000044446",5077,"ENST00000379942"
"ENSG00000044459",5518,"ENST00000380647"
"ENSG00000044524",5712,"ENST00000336596"
"ENSG00000044574",3921,"ENST00000324460"
"ENSG00000046604",5697,"ENST00000261590"
"ENSG00000046647",3147,"ENST00000680255"
"ENSG00000046651",3612,"ENST00000340096"
"ENSG00000046653",3118,"ENST00000316715"
"ENSG00000046774",1994,"ENST00000247452"
"ENSG00000046889",10824,"ENST00000288368"
